"xpath","ncharacter","text"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[27]/text()[1]",2,"27"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[28]/text()[1]",2,"28"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[29]/text()[1]",2,"29"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[30]/text()[1]",2,"30"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[31]/text()[1]",2,"31"
"/HTML[1]/BODY[1]/DIV[3]/A[2]/text()[1]",5,">>06-"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/H2[1]/A[1]/text()[1]",8,"スポンサーサイト"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[1]/text()[1]",8,"--------"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[2]/text()[1]",29,"上記の広告は１ヶ月以上更新のないブログに表示されています。"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[2]/text()[2]",18,"新しい記事を書く事で広告が消せます。"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[3]/A[1]/text()[1]",7,"スポンサー広告"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/H2[1]/A[1]/text()[1]",29,"請追逐自己的夢想------------記阿茲特克劇情有感"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[1]/text()[1]",10,"2013-05-03"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[1]",33,"在漫長的五一假期中,終於可以悠閒的欣賞一下自己期待多時的插曲劇情了"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[2]",12,"這次介紹的是阿茲特克劇情"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[3]",17,"條件是發現黃金之城""特諾奇蒂特蘭"""
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[4]",32,"總體劇情不是特別長,以對話為主,沒有發現物,有2場戰門都很簡單."
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[5]",25,"這是一個以跨國之戀和國家陰謀為主的劇情,內容很精彩"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[6]",13,"其中的對白也很值得深思~~"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[7]",25,"具體內容我就不劇透,請各位船長以後慢慢自己去欣賞."
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[8]",9,"可以獲得稱號和服裝"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/text()[1]",8,"最後賣萌一次^^"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[2]/text()[1]",13,"ok,下回要跑印加劇情咯~"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[3]/DIV[1]/text()[1]",8,"スポンサーサイト"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[1]/text()[1]",2,"冒系"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/text()[1]",1,"|"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[2]/text()[1]",8,"コメント:(1)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/text()[2]",1,"|"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[3]/text()[1]",11,"トラックバック:(0)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]/text()[1]",1,"|"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]/A[1]/text()[1]",3,"ホーム"
"/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]/text()[2]",1,"|"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[1]/text()[1]",8,"本商會簡介與規章"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[1]/DIV[1]/text()[1]",90,"歡迎新老手加入～此商會是純手動玩家的聖地，因此本商會嚴禁外掛。也嚴禁不做任何努力而四處伸手要東西的行為、對話中總是用注音符號、打劫自己商會的人等等行為，以上凡違反其一者必逐出商會。"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[2]/text()[1]",7,"商會的設施簡介"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[2]/DIV[1]/text()[1]",89,"有酒館與銀行及擺攤功能的商館(熱那亞6號會館)、本商會的寶石與貴金屬港(13117,2246)、需格外登錄的建設中分會港(13053,2382)、商會東亞貿易系統(貿易港為淡水)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[2]/DIV[3]/text()[1]",34,"附註：以上任何設施都可自由使用，若是想協助建設開港請與赤斬聯絡討論。"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[3]/text()[1]",9,"大航海時代相關聯結"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[1]/A[1]/text()[1]",24,"Database Seasons(船隻資料參考)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[2]/A[1]/text()[1]",13,"巴哈姆特 -攻略百科：索引"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[3]/A[1]/text()[1]",15,"博文_夕阳醉_(船隻強化參考)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[4]/A[1]/text()[1]",4,"管理頁面"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[4]/text()[1]",12,"※可直接打關鍵字搜索文章"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[5]/text()[1]",4,"文章類別"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[1]/A[1]/text()[1]",8,"商會公告 (5)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[2]/A[1]/text()[1]",10,"商會活動公告 (3)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[3]/A[1]/text()[1]",13,"攻略‧教學‧心得 (17)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[4]/A[1]/text()[1]",6,"冒系 (5)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[5]/A[1]/text()[1]",6,"商系 (7)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[6]/A[1]/text()[1]",6,"軍系 (5)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[7]/A[1]/text()[1]",12,"造船系統相關資訊 (3)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[8]/A[1]/text()[1]",10,"船隻裝備介紹 (1)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[9]/A[1]/text()[1]",8,"特殊裝備 (1)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[10]/A[1]/text()[1]",9,"北美港現況 (1)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[11]/A[1]/text()[1]",11,"赤斬的料理教學 (2)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[12]/A[1]/text()[1]",13,"海明‧威的冒險遊記 (6)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[13]/A[1]/text()[1]",8,"富商之道 (2)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[14]/A[1]/text()[1]",8,"FILE (1)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[15]/A[1]/text()[1]",8,"職之試煉 (1)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[16]/A[1]/text()[1]",17,"商會相簿-記載著點點滴滴 (13)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[17]/A[1]/text()[1]",15,"沉船地圖詳標(待補中) (0)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[18]/A[1]/text()[1]",9,"莎莎歷險記 (4)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[6]/text()[1]",4,"最新文章"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[1]/A[1]/text()[1]",24,"重造系統之機率低到我想砍人... (08/17)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[2]/A[1]/text()[1]",15,"進擊的紅名>. (08/09)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[3]/A[1]/text()[1]",11,"霸主戰 (08/01)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[4]/A[1]/text()[1]",15,"扭曲之愛的結局 (07/28)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]/DIV[2]/UL[1]/LI[5]/A[1]/text()[1]",13,"大沉船時代 (07/28)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[7]/text()[1]",4,"最新留言"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[1]/A[1]/text()[1]",29,"和平至上:重造系統之機率低到我想砍人... (02/24)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[2]/A[1]/text()[1]",31,"法蘭西冒險家物語:白目，在任何時代都不缺貨的！ (09/13)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[3]/A[1]/text()[1]",29,"流浪上尉:重造系統之機率低到我想砍人... (09/07)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[4]/A[1]/text()[1]",27,"水漾:重造系統之機率低到我想砍人... (08/18)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[5]/A[1]/text()[1]",20,"海明。威:扭曲之愛的結局 (08/07)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[6]/A[1]/text()[1]",18,"回憶:扭曲之愛的結局 (07/29)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[7]/DIV[2]/UL[1]/LI[7]/A[1]/text()[1]",20,"海明。威:一步航海無盡期 (07/16)"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[8]/text()[1]",7,"部落格總管理員"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]/P[2]/text()[1]",16,"Author:Ternence楓"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[8]/DIV[2]/P[2]/text()[2]",22,"歡迎來到探索號伺服器-熱那亞的娜斯水狐商會！"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[9]/text()[1]",2,"月曆"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/A[1]/text()[1]",2,"04"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/text()[1]",11,"| 2013/05 |"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/CAPTION[1]/A[2]/text()[1]",2,"06"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[1]/text()[1]",1,"日"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[2]/text()[1]",1,"一"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[3]/text()[1]",1,"二"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[4]/text()[1]",1,"三"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[5]/text()[1]",1,"四"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[6]/text()[1]",1,"五"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TH[7]/text()[1]",1,"六"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/text()[1]",1,"-"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[2]/text()[1]",1,"-"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/text()[1]",1,"-"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[4]/text()[1]",1,"1"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[5]/text()[1]",1,"2"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[6]/A[1]/text()[1]",1,"3"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[2]/TD[7]/text()[1]",1,"4"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]/text()[1]",1,"5"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[2]/text()[1]",1,"6"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/text()[1]",1,"7"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[4]/text()[1]",1,"8"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[5]/text()[1]",1,"9"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[6]/text()[1]",2,"10"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[3]/TD[7]/text()[1]",2,"11"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[1]/text()[1]",2,"12"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/text()[1]",2,"13"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]/text()[1]",2,"14"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[4]/text()[1]",2,"15"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[5]/text()[1]",2,"16"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[6]/text()[1]",2,"17"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[4]/TD[7]/text()[1]",2,"18"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[1]/text()[1]",2,"19"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[2]/text()[1]",2,"20"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[3]/text()[1]",2,"21"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[4]/text()[1]",2,"22"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[5]/text()[1]",2,"23"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[6]/text()[1]",2,"24"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[5]/TD[7]/text()[1]",2,"25"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[1]/text()[1]",2,"26"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[2]/text()[1]",2,"27"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/text()[1]",2,"28"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[4]/text()[1]",2,"29"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[5]/text()[1]",2,"30"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[6]/text()[1]",2,"31"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[9]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[6]/TD[7]/text()[1]",1,"-"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[10]/text()[1]",4,"訪客人數"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[11]/text()[1]",7,"加為部落格好友"
"/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[11]/DIV[2]/P[1]/A[1]/text()[1]",10,"和此人成爲部落格好友"
"/HTML[1]/BODY[1]/DIV[5]/DIV[1]/text()[1]",64,"Copyright （c） 2013  大航海時代-娜斯水狐  All Rights Reserved. Designed by"
"/HTML[1]/BODY[1]/DIV[5]/DIV[1]/A[1]/text()[1]",4,"Chie"
"/HTML[1]/BODY[1]/DIV[6]/DIV[1]/DIV[1]/text()[1]",47,"上記広告は1ヶ月以上更新のないブログに表示されています。新しい記事を書くことで広告を消せます。"
