left,bottom,right,top,xpath
300,1066,395,1051,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[2]/A[1]/text()[1]
300,1087,500,1068,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[3]
300,1085,410,1070,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[3]/A[1]
300,1085,410,1070,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[3]/A[1]/text()[1]
300,1106,500,1087,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[4]
308,1104,355,1089,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[4]/A[1]
308,1104,355,1089,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[4]/A[1]/text()[1]
300,1125,500,1106,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[5]
308,1123,355,1108,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[5]/A[1]
308,1123,355,1108,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[5]/A[1]/text()[1]
300,1144,500,1125,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[6]
308,1142,355,1127,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[6]/A[1]
308,1142,355,1127,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[6]/A[1]/text()[1]
300,1163,500,1144,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[7]
300,1161,419,1146,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[7]/A[1]
300,1161,419,1146,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[7]/A[1]/text()[1]
300,1182,500,1163,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[8]
300,1180,395,1165,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[8]/A[1]
300,1180,395,1165,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[8]/A[1]/text()[1]
300,1201,500,1182,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[9]
308,1199,379,1184,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[9]/A[1]
308,1199,379,1184,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[9]/A[1]/text()[1]
300,1220,500,1201,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[10]
300,1218,383,1203,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[10]/A[1]
300,1218,383,1203,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[10]/A[1]/text()[1]
300,1239,500,1220,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[11]
300,1237,407,1222,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[11]/A[1]
300,1237,407,1222,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[11]/A[1]/text()[1]
300,1258,500,1239,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[12]
300,1256,423,1241,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[12]/A[1]
300,1256,423,1241,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[12]/A[1]/text()[1]
300,1277,500,1258,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[13]
308,1275,379,1260,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[13]/A[1]
308,1275,379,1260,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[13]/A[1]/text()[1]
300,1296,500,1277,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[14]
308,1294,357,1279,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[14]/A[1]
308,1294,357,1279,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[14]/A[1]/text()[1]
300,1315,500,1296,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[15]
308,1313,379,1298,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[15]/A[1]
308,1313,379,1298,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[15]/A[1]/text()[1]
300,1334,500,1315,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[16]
300,1332,468,1317,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[16]/A[1]
300,1332,468,1317,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[16]/A[1]/text()[1]
300,1353,500,1334,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[17]
300,1351,442,1336,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[17]/A[1]
300,1351,442,1336,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[17]/A[1]/text()[1]
300,1372,500,1353,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[18]
300,1370,383,1355,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[18]/A[1]
300,1370,383,1355,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[18]/A[1]/text()[1]
295,1428,505,1402,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[6]
295,1423,347,1407,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[6]/text()[1]
300,1553,500,1443,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[6]
